Date,Cranb ID,Temp1,Temp2,Temp_Ave,Length,Width,Weight,Microplastic Load,Adjusted Microplastic load,Notes,Body Index,Predicted Weight
2/24/2022,12D,33.6,34,33.8,12.77,6.54,0.54,,,,1.124496709,0.480214833
2/24/2022,13D,33.4,33.6,33.5,17.81,9.33,1.29,,,,1.250289723,1.03176086
2/24/2022,14D,33.1,33.5,33.3,20.26,12.2,2.12,,,,1.527809084,1.38760793
2/24/2022,15D,33.6,33.6,33.6,14.18,7.19,0.61,,,,0.998443473,0.610950962
2/24/2022,16D,33.2,33.4,33.3,26.97,13.3,2.97,,,,1.108813373,2.678539123
2/24/2022,17D,33.4,33.6,33.5,19.29,10.57,1.53,,,,1.234269341,1.239599777
2/24/2022,18D,33.7,33.9,33.8,14.7,8.15,0.93,,,,1.401256686,0.663689964
2/24/2022,19D,33.7,33.8,33.75,18.08,9.2,1.31,,,,1.226505262,1.06807532
2/24/2022,20D,33.8,34,33.9,13.89,8.29,0.93,,,,1.596275277,0.582606279
2/24/2022,21D,33.9,34.1,34,13.92,7.01,0.66,,,,1.127235443,0.585503236
2/24/2022,22D,34.1,34.2,34.15,10.52,6.51,0.49,,,,1.593232643,0.307550816
2/24/2022,23D,34.4,34.5,34.45,12.17,6.58,0.56,,,,1.302573653,0.429918108
2/24/2022,24D,34.3,34.5,34.4,14.87,7.71,0.86,,,,1.261981058,0.681468231
