Time,Angelo HQ SF Eel Gage Water Temp Outside CS450 degC
12/15/2015 0:00,8.8
12/15/2015 0:05,8.79
12/15/2015 0:10,8.79
12/15/2015 0:15,8.78
12/15/2015 0:20,8.77
12/15/2015 0:25,8.76
12/15/2015 0:30,8.76
12/15/2015 0:35,8.75
12/15/2015 0:40,8.74
12/15/2015 0:45,8.73
12/15/2015 0:50,8.72
12/15/2015 0:55,8.72
12/15/2015 1:00,8.71
12/15/2015 1:05,8.7
12/15/2015 1:10,8.69
12/15/2015 1:15,8.68
12/15/2015 1:20,8.68
12/15/2015 1:25,8.67
12/15/2015 1:30,8.66
12/15/2015 1:35,8.65
12/15/2015 1:40,8.64
12/15/2015 1:45,8.64
12/15/2015 1:50,8.63
12/15/2015 1:55,8.62
12/15/2015 2:00,8.62
12/15/2015 2:05,8.61
12/15/2015 2:10,8.6
12/15/2015 2:15,8.6
12/15/2015 2:20,8.59
12/15/2015 2:25,8.58
12/15/2015 2:30,8.57
12/15/2015 2:35,8.57
12/15/2015 2:40,8.56
12/15/2015 2:45,8.55
12/15/2015 2:50,8.54
12/15/2015 2:55,8.53
12/15/2015 3:00,8.52
12/15/2015 3:05,8.52
12/15/2015 3:10,8.51
12/15/2015 3:15,8.5
12/15/2015 3:20,8.49
12/15/2015 3:25,8.48
12/15/2015 3:30,8.48
12/15/2015 3:35,8.47
12/15/2015 3:40,8.46
12/15/2015 3:45,8.46
12/15/2015 3:50,8.45
12/15/2015 3:55,8.44
12/15/2015 4:00,8.44
12/15/2015 4:05,8.43
12/15/2015 4:10,8.43
12/15/2015 4:15,8.42
12/15/2015 4:20,8.41
12/15/2015 4:25,8.41
12/15/2015 4:30,8.4
12/15/2015 4:35,8.4
12/15/2015 4:40,8.39
12/15/2015 4:45,8.39
12/15/2015 4:50,8.38
12/15/2015 4:55,8.37
12/15/2015 5:00,8.37
12/15/2015 5:05,8.36
12/15/2015 5:10,8.35
12/15/2015 5:15,8.34
12/15/2015 5:20,8.34
12/15/2015 5:25,8.33
12/15/2015 5:30,8.32
12/15/2015 5:35,8.32
12/15/2015 5:40,8.31
12/15/2015 5:45,8.3
12/15/2015 5:50,8.3
12/15/2015 5:55,8.29
12/15/2015 6:00,8.28
12/15/2015 6:05,8.27
12/15/2015 6:10,8.26
12/15/2015 6:15,8.26
12/15/2015 6:20,8.25
12/15/2015 6:25,8.24
12/15/2015 6:30,8.24
12/15/2015 6:35,8.23
12/15/2015 6:40,8.22
12/15/2015 6:45,8.22
12/15/2015 6:50,8.21
12/15/2015 6:55,8.2
12/15/2015 7:00,8.2
12/15/2015 7:05,8.19
12/15/2015 7:10,8.18
12/15/2015 7:15,8.17
12/15/2015 7:20,8.17
12/15/2015 7:25,8.16
12/15/2015 7:30,8.15
12/15/2015 7:35,8.14
12/15/2015 7:40,8.14
12/15/2015 7:45,8.13
12/15/2015 7:50,8.12
12/15/2015 7:55,8.12
12/15/2015 8:00,8.11
12/15/2015 8:05,8.1
12/15/2015 8:10,8.1
12/15/2015 8:15,8.09
12/15/2015 8:20,8.08
12/15/2015 8:25,8.07
12/15/2015 8:30,8.07
12/15/2015 8:35,8.06
12/15/2015 8:40,8.05
12/15/2015 8:45,8.05
12/15/2015 8:50,8.04
12/15/2015 8:55,8.03
12/15/2015 9:00,8.03
12/15/2015 9:05,8.02
12/15/2015 9:10,8.02
12/15/2015 9:15,8.01
12/15/2015 9:20,8
12/15/2015 9:25,7.999
12/15/2015 9:30,7.993
12/15/2015 9:35,7.987
12/15/2015 9:40,7.982
12/15/2015 9:45,7.977
12/15/2015 9:50,7.973
12/15/2015 9:55,7.969
12/15/2015 10:00,7.965
12/15/2015 10:05,7.962
12/15/2015 10:10,7.958
12/15/2015 10:15,7.954
12/15/2015 10:20,7.95
12/15/2015 10:25,7.947
12/15/2015 10:30,7.944
12/15/2015 10:35,7.942
12/15/2015 10:40,7.94
12/15/2015 10:45,7.939
12/15/2015 10:50,7.938
12/15/2015 10:55,7.938
12/15/2015 11:00,7.938
12/15/2015 11:05,7.938
12/15/2015 11:10,7.94
12/15/2015 11:15,7.942
12/15/2015 11:20,7.945
12/15/2015 11:25,7.947
12/15/2015 11:30,7.95
12/15/2015 11:35,7.953
12/15/2015 11:40,7.957
12/15/2015 11:45,7.961
