Time,Angelo HQ SF Eel Gage Water Temp Outside CS450 degC
12/15/2017 0:00,4.937
12/15/2017 0:05,4.939
12/15/2017 0:10,4.94
12/15/2017 0:15,4.942
12/15/2017 0:20,4.944
12/15/2017 0:25,4.945
12/15/2017 0:30,4.948
12/15/2017 0:35,4.95
12/15/2017 0:40,4.952
12/15/2017 0:45,4.954
12/15/2017 0:50,4.956
12/15/2017 0:55,4.957
12/15/2017 1:00,4.958
12/15/2017 1:05,4.959
12/15/2017 1:10,4.961
12/15/2017 1:15,4.962
12/15/2017 1:20,4.964
12/15/2017 1:25,4.965
12/15/2017 1:30,4.965
12/15/2017 1:35,4.966
12/15/2017 1:40,4.967
12/15/2017 1:45,4.968
12/15/2017 1:50,4.969
12/15/2017 1:55,4.97
12/15/2017 2:00,4.97
12/15/2017 2:05,4.971
12/15/2017 2:10,4.972
12/15/2017 2:15,4.972
12/15/2017 2:20,4.972
12/15/2017 2:25,4.972
12/15/2017 2:30,4.972
12/15/2017 2:35,4.97
12/15/2017 2:40,4.97
12/15/2017 2:45,4.969
12/15/2017 2:50,4.969
12/15/2017 2:55,4.967
12/15/2017 3:00,4.966
12/15/2017 3:05,4.965
12/15/2017 3:10,4.962
12/15/2017 3:15,4.961
12/15/2017 3:20,4.958
12/15/2017 3:25,4.956
12/15/2017 3:30,4.953
12/15/2017 3:35,4.951
12/15/2017 3:40,4.949
12/15/2017 3:45,4.946
12/15/2017 3:50,4.944
12/15/2017 3:55,4.941
12/15/2017 4:00,4.938
12/15/2017 4:05,4.935
12/15/2017 4:10,4.933
12/15/2017 4:15,4.931
12/15/2017 4:20,4.928
12/15/2017 4:25,4.926
12/15/2017 4:30,4.922
12/15/2017 4:35,4.919
12/15/2017 4:40,4.916
12/15/2017 4:45,4.913
12/15/2017 4:50,4.909
12/15/2017 4:55,4.906
12/15/2017 5:00,4.903
12/15/2017 5:05,4.899
12/15/2017 5:10,4.896
12/15/2017 5:15,4.892
12/15/2017 5:20,4.889
12/15/2017 5:25,4.886
12/15/2017 5:30,4.882
12/15/2017 5:35,4.879
12/15/2017 5:40,4.875
12/15/2017 5:45,4.872
12/15/2017 5:50,4.869
12/15/2017 5:55,4.865
12/15/2017 6:00,4.862
12/15/2017 6:05,4.858
12/15/2017 6:10,4.855
12/15/2017 6:15,4.852
12/15/2017 6:20,4.848
12/15/2017 6:25,4.844
12/15/2017 6:30,4.839
12/15/2017 6:35,4.835
12/15/2017 6:40,4.83
12/15/2017 6:45,4.825
12/15/2017 6:50,4.82
12/15/2017 6:55,4.816
12/15/2017 7:00,4.812
12/15/2017 7:05,4.808
12/15/2017 7:10,4.803
12/15/2017 7:15,4.798
12/15/2017 7:20,4.793
12/15/2017 7:25,4.789
12/15/2017 7:30,4.784
12/15/2017 7:35,4.779
12/15/2017 7:40,4.775
12/15/2017 7:45,4.771
12/15/2017 7:50,4.767
12/15/2017 7:55,4.763
12/15/2017 8:00,4.759
12/15/2017 8:05,4.755
12/15/2017 8:10,4.752
12/15/2017 8:15,4.749
12/15/2017 8:20,4.748
12/15/2017 8:25,4.747
12/15/2017 8:30,4.746
12/15/2017 8:35,4.745
12/15/2017 8:40,4.743
12/15/2017 8:45,4.742
12/15/2017 8:50,4.741
12/15/2017 8:55,4.741
12/15/2017 9:00,4.741
12/15/2017 9:05,4.742
12/15/2017 9:10,4.742
12/15/2017 9:15,4.743
12/15/2017 9:20,4.744
12/15/2017 9:25,4.747
12/15/2017 9:30,4.749
12/15/2017 9:35,4.752
12/15/2017 9:40,4.755
12/15/2017 9:45,4.759
12/15/2017 9:50,4.762
12/15/2017 9:55,4.767
12/15/2017 10:00,4.77
12/15/2017 10:05,4.774
12/15/2017 10:10,4.778
12/15/2017 10:15,4.783
12/15/2017 10:20,4.788
12/15/2017 10:25,4.794
12/15/2017 10:30,4.8
12/15/2017 10:35,4.805
