Time,Angelo HQ SF Eel Gage Water Temp Outside CS450 degC
12/15/2016 0:00,10.93
12/15/2016 0:05,10.93
12/15/2016 0:10,10.94
12/15/2016 0:15,10.94
12/15/2016 0:20,10.94
12/15/2016 0:25,10.94
12/15/2016 0:30,10.95
12/15/2016 0:35,10.95
12/15/2016 0:40,10.95
12/15/2016 0:45,10.95
12/15/2016 0:50,10.96
12/15/2016 0:55,10.96
12/15/2016 1:00,10.96
12/15/2016 1:05,10.97
12/15/2016 1:10,10.97
12/15/2016 1:15,10.97
12/15/2016 1:20,10.98
12/15/2016 1:25,10.98
12/15/2016 1:30,10.98
12/15/2016 1:35,10.98
12/15/2016 1:40,10.99
12/15/2016 1:45,10.99
12/15/2016 1:50,10.99
12/15/2016 1:55,11
12/15/2016 2:00,11
12/15/2016 2:05,11
12/15/2016 2:10,11.01
12/15/2016 2:15,11.01
12/15/2016 2:20,11.01
12/15/2016 2:25,11.02
12/15/2016 2:30,11.02
12/15/2016 2:35,11.03
12/15/2016 2:40,11.03
12/15/2016 2:45,11.03
12/15/2016 2:50,11.04
12/15/2016 2:55,11.04
12/15/2016 3:00,11.04
12/15/2016 3:05,11.05
12/15/2016 3:10,11.05
12/15/2016 3:15,11.05
12/15/2016 3:20,11.06
12/15/2016 3:25,11.06
12/15/2016 3:30,11.06
12/15/2016 3:35,11.06
12/15/2016 3:40,11.06
12/15/2016 3:45,11.06
12/15/2016 3:50,11.05
12/15/2016 3:55,11.05
12/15/2016 4:00,11.05
12/15/2016 4:05,11.04
12/15/2016 4:10,11.04
12/15/2016 4:15,11.04
12/15/2016 4:20,11.03
12/15/2016 4:25,11.03
12/15/2016 4:30,11.02
12/15/2016 4:35,11.02
12/15/2016 4:40,11.01
12/15/2016 4:45,11.01
12/15/2016 4:50,11
12/15/2016 4:55,11
12/15/2016 5:00,10.99
12/15/2016 5:05,10.99
12/15/2016 5:10,10.99
12/15/2016 5:15,10.98
12/15/2016 5:20,10.98
12/15/2016 5:25,10.98
12/15/2016 5:30,10.98
12/15/2016 5:35,10.98
12/15/2016 5:40,10.98
12/15/2016 5:45,10.98
12/15/2016 5:50,10.98
12/15/2016 5:55,10.98
12/15/2016 6:00,10.98
12/15/2016 6:05,10.98
12/15/2016 6:10,10.98
12/15/2016 6:15,10.98
12/15/2016 6:20,10.98
12/15/2016 6:25,10.99
12/15/2016 6:30,10.99
12/15/2016 6:35,10.99
12/15/2016 6:40,10.99
12/15/2016 6:45,11
12/15/2016 6:50,11
12/15/2016 6:55,11
12/15/2016 7:00,11
12/15/2016 7:05,11.01
12/15/2016 7:10,11.01
12/15/2016 7:15,11.01
12/15/2016 7:20,11.01
12/15/2016 7:25,11.02
12/15/2016 7:30,11.02
12/15/2016 7:35,11.02
12/15/2016 7:40,11.03
12/15/2016 7:45,11.03
12/15/2016 7:50,11.03
12/15/2016 7:55,11.03
12/15/2016 8:00,11.04
12/15/2016 8:05,11.04
12/15/2016 8:10,11.04
12/15/2016 8:15,11.04
12/15/2016 8:20,11.05
12/15/2016 8:25,11.05
12/15/2016 8:30,11.05
12/15/2016 8:35,11.05
12/15/2016 8:40,11.06
12/15/2016 8:45,11.06
12/15/2016 8:50,11.06
12/15/2016 8:55,11.06
12/15/2016 9:00,11.06
12/15/2016 9:05,11.07
12/15/2016 9:10,11.07
12/15/2016 9:15,11.07
12/15/2016 9:20,11.07
12/15/2016 9:25,11.07
12/15/2016 9:30,11.07
12/15/2016 9:35,11.08
12/15/2016 9:40,11.08
12/15/2016 9:45,11.08
12/15/2016 9:50,11.08
12/15/2016 9:55,11.08
12/15/2016 10:00,11.08
12/15/2016 10:05,11.08
12/15/2016 10:10,11.09
12/15/2016 10:15,11.09
12/15/2016 10:20,11.09
12/15/2016 10:25,11.09
12/15/2016 10:30,11.09
12/15/2016 10:35,11.1
12/15/2016 10:40,11.1
12/15/2016 10:45,11.1
12/15/2016 10:50,11.1
12/15/2016 10:55,11.11
12/15/2016 11:00,11.11
12/15/2016 11:05,11.11
12/15/2016 11:10,11.12
12/15/2016 11:15,11.12
12/15/2016 11:20,11.12
12/15/2016 11:25,11.12
12/15/2016 11:30,11.13
12/15/2016 11:35,11.13
12/15/2016 11:40,11.14
12/15/2016 11:45,11.14
12/15/2016 11:50,11.14
12/15/2016 11:55,11.15
12/15/2016 12:00,11.15
12/15/2016 12:05,11.15
12/15/2016 12:10,11.16
12/15/2016 12:15,11.16
