Time,Angelo HQ SF Eel Gage Water Temp Outside CS450 degC
12/15/2018 0:00,6.925
12/15/2018 0:05,6.927
12/15/2018 0:10,6.929
12/15/2018 0:15,6.932
12/15/2018 0:20,6.933
12/15/2018 0:25,6.935
12/15/2018 0:30,6.936
12/15/2018 0:35,6.937
12/15/2018 0:40,6.937
12/15/2018 0:45,6.938
12/15/2018 0:50,6.939
12/15/2018 0:55,6.939
12/15/2018 1:00,6.938
12/15/2018 1:05,6.938
12/15/2018 1:10,6.937
12/15/2018 1:15,6.935
12/15/2018 1:20,6.934
12/15/2018 1:25,6.933
12/15/2018 1:30,6.931
12/15/2018 1:35,6.929
12/15/2018 1:40,6.927
12/15/2018 1:45,6.924
12/15/2018 1:50,6.922
12/15/2018 1:55,6.919
12/15/2018 2:00,6.917
12/15/2018 2:05,6.915
12/15/2018 2:10,6.913
12/15/2018 2:15,6.911
12/15/2018 2:20,6.908
12/15/2018 2:25,6.906
12/15/2018 2:30,6.904
12/15/2018 2:35,6.902
12/15/2018 2:40,6.9
12/15/2018 2:45,6.898
12/15/2018 2:50,6.896
12/15/2018 2:55,6.895
12/15/2018 3:00,6.893
12/15/2018 3:05,6.891
12/15/2018 3:10,6.889
12/15/2018 3:15,6.887
12/15/2018 3:20,6.884
12/15/2018 3:25,6.882
12/15/2018 3:30,6.88
12/15/2018 3:35,6.878
12/15/2018 3:40,6.876
12/15/2018 3:45,6.874
12/15/2018 3:50,6.872
12/15/2018 3:55,6.87
12/15/2018 4:00,6.868
12/15/2018 4:05,6.867
12/15/2018 4:10,6.865
12/15/2018 4:15,6.864
12/15/2018 4:20,6.862
12/15/2018 4:25,6.861
12/15/2018 4:30,6.86
12/15/2018 4:35,6.858
12/15/2018 4:40,6.857
12/15/2018 4:45,6.855
12/15/2018 4:50,6.852
12/15/2018 4:55,6.851
12/15/2018 5:00,6.85
12/15/2018 5:05,6.848
12/15/2018 5:10,6.847
12/15/2018 5:15,6.846
12/15/2018 5:20,6.845
12/15/2018 5:25,6.844
12/15/2018 5:30,6.843
12/15/2018 5:35,6.842
12/15/2018 5:40,6.841
12/15/2018 5:45,6.84
12/15/2018 5:50,6.838
12/15/2018 5:55,6.837
12/15/2018 6:00,6.836
12/15/2018 6:05,6.835
12/15/2018 6:10,6.835
12/15/2018 6:15,6.835
12/15/2018 6:20,6.835
12/15/2018 6:25,6.835
12/15/2018 6:30,6.835
12/15/2018 6:35,6.835
12/15/2018 6:40,6.835
12/15/2018 6:45,6.835
12/15/2018 6:50,6.836
12/15/2018 6:55,6.836
12/15/2018 7:00,6.836
12/15/2018 7:05,6.836
12/15/2018 7:10,6.836
12/15/2018 7:15,6.836
12/15/2018 7:20,6.836
12/15/2018 7:25,6.836
12/15/2018 7:30,6.836
12/15/2018 7:35,6.836
12/15/2018 7:40,6.835
12/15/2018 7:45,6.835
12/15/2018 7:50,6.834
12/15/2018 7:55,6.834
12/15/2018 8:00,6.834
12/15/2018 8:05,6.834
12/15/2018 8:10,6.834
12/15/2018 8:15,6.834
12/15/2018 8:20,6.835
12/15/2018 8:25,6.835
12/15/2018 8:30,6.835
12/15/2018 8:35,6.835
12/15/2018 8:40,6.834
12/15/2018 8:45,6.834
12/15/2018 8:50,6.834
12/15/2018 8:55,6.834
12/15/2018 9:00,6.834
12/15/2018 9:05,6.833
12/15/2018 9:10,6.832
12/15/2018 9:15,6.831
12/15/2018 9:20,6.831
12/15/2018 9:25,6.83
12/15/2018 9:30,6.83
12/15/2018 9:35,6.829
12/15/2018 9:40,6.83
12/15/2018 9:45,6.831
12/15/2018 9:50,6.833
12/15/2018 9:55,6.835
12/15/2018 10:00,6.837
12/15/2018 10:05,6.839
12/15/2018 10:10,6.842
12/15/2018 10:15,6.846
12/15/2018 10:20,6.85
12/15/2018 10:25,6.854
12/15/2018 10:30,6.857
12/15/2018 10:35,6.86
12/15/2018 10:40,6.865
12/15/2018 10:45,6.87
12/15/2018 10:50,6.875
12/15/2018 10:55,6.88
12/15/2018 11:00,6.884
12/15/2018 11:05,6.888
12/15/2018 11:10,6.893
12/15/2018 11:15,6.898
12/15/2018 11:20,6.902
12/15/2018 11:25,6.907
12/15/2018 11:30,6.912
12/15/2018 11:35,6.917
12/15/2018 11:40,6.922
12/15/2018 11:45,6.928
12/15/2018 11:50,6.935
12/15/2018 11:55,6.943
12/15/2018 12:00,6.951
12/15/2018 12:05,6.959
12/15/2018 12:10,6.969
12/15/2018 12:15,6.979
12/15/2018 12:20,6.985
12/15/2018 12:25,6.991
12/15/2018 12:30,6.997
12/15/2018 12:35,7.006
12/15/2018 12:40,7.011
12/15/2018 12:45,7.017
12/15/2018 12:50,7.026
12/15/2018 12:55,7.033
12/15/2018 13:00,7.04
12/15/2018 13:05,7.047
12/15/2018 13:10,7.055
12/15/2018 13:15,7.063
12/15/2018 13:20,7.071
12/15/2018 13:25,7.08
12/15/2018 13:30,7.088
12/15/2018 13:35,7.093
12/15/2018 13:40,7.1
12/15/2018 13:45,7.106
12/15/2018 13:50,7.113
12/15/2018 13:55,7.117
12/15/2018 14:00,7.12
12/15/2018 14:05,7.126
12/15/2018 14:10,7.133
12/15/2018 14:15,7.14
12/15/2018 14:20,7.146
12/15/2018 14:25,7.151
12/15/2018 14:30,7.158
12/15/2018 14:35,7.165
12/15/2018 14:40,7.172
12/15/2018 14:45,7.179
12/15/2018 14:50,7.185
12/15/2018 14:55,7.192
12/15/2018 15:00,7.199
12/15/2018 15:05,7.205
12/15/2018 15:10,7.211
12/15/2018 15:15,7.217
12/15/2018 15:20,7.224
12/15/2018 15:25,7.23
12/15/2018 15:30,7.235
12/15/2018 15:35,7.241
12/15/2018 15:40,7.247
12/15/2018 15:45,7.252
12/15/2018 15:50,7.256
12/15/2018 15:55,7.26
12/15/2018 16:00,7.266
12/15/2018 16:05,7.272
12/15/2018 16:10,7.278
12/15/2018 16:15,7.283
12/15/2018 16:20,7.288
12/15/2018 16:25,7.292
12/15/2018 16:30,7.297
12/15/2018 16:35,7.302
12/15/2018 16:40,7.307
12/15/2018 16:45,7.313
12/15/2018 16:50,7.318
12/15/2018 16:55,7.323
12/15/2018 17:00,7.327
12/15/2018 17:05,7.332
12/15/2018 17:10,7.336
12/15/2018 17:15,7.341
12/15/2018 17:20,7.346
12/15/2018 17:25,7.351
12/15/2018 17:30,7.356
12/15/2018 17:35,7.361
12/15/2018 17:40,7.366
12/15/2018 17:45,7.37
12/15/2018 17:50,7.375
12/15/2018 17:55,7.379
12/15/2018 18:00,7.384
12/15/2018 18:05,7.389
12/15/2018 18:10,7.394
12/15/2018 18:15,7.399
12/15/2018 18:20,7.404
12/15/2018 18:25,7.409
12/15/2018 18:30,7.414
12/15/2018 18:35,7.419
12/15/2018 18:40,7.424
12/15/2018 18:45,7.429
12/15/2018 18:50,7.434
12/15/2018 18:55,7.439
12/15/2018 19:00,7.444
12/15/2018 19:05,7.448
12/15/2018 19:10,7.453
12/15/2018 19:15,7.458
12/15/2018 19:20,7.463
12/15/2018 19:25,7.468
12/15/2018 19:30,7.472
12/15/2018 19:35,7.478
12/15/2018 19:40,7.482
12/15/2018 19:45,7.487
12/15/2018 19:50,7.492
12/15/2018 19:55,7.496
12/15/2018 20:00,7.501
12/15/2018 20:05,7.506
12/15/2018 20:10,7.512
12/15/2018 20:15,7.518
12/15/2018 20:20,7.524
12/15/2018 20:25,7.529
12/15/2018 20:30,7.535
12/15/2018 20:35,7.54
12/15/2018 20:40,7.546
12/15/2018 20:45,7.551
12/15/2018 20:50,7.556
12/15/2018 20:55,7.561
12/15/2018 21:00,7.566
12/15/2018 21:05,7.57
12/15/2018 21:10,7.576
12/15/2018 21:15,7.581
12/15/2018 21:20,7.586
12/15/2018 21:25,7.591
12/15/2018 21:30,7.595
12/15/2018 21:35,7.599
12/15/2018 21:40,7.603
12/15/2018 21:45,7.608
12/15/2018 21:50,7.612
12/15/2018 21:55,7.617
12/15/2018 22:00,7.622
12/15/2018 22:05,7.627
12/15/2018 22:10,7.631
12/15/2018 22:15,7.634
12/15/2018 22:20,7.638
12/15/2018 22:25,7.642
12/15/2018 22:30,7.647
12/15/2018 22:35,7.651
12/15/2018 22:40,7.656
12/15/2018 22:45,7.661
12/15/2018 22:50,7.665
12/15/2018 22:55,7.67
12/15/2018 23:00,7.676
12/15/2018 23:05,7.683
12/15/2018 23:10,7.689
12/15/2018 23:15,7.694
12/15/2018 23:20,7.699
12/15/2018 23:25,7.704
12/15/2018 23:30,7.712
12/15/2018 23:35,7.717
12/15/2018 23:40,7.724
12/15/2018 23:45,7.732
12/15/2018 23:50,7.739
12/15/2018 23:55,7.746
12/16/2018 0:00,7.752
12/16/2018 0:05,7.757
12/16/2018 0:10,7.76
12/16/2018 0:15,7.763
12/16/2018 0:20,7.767
12/16/2018 0:25,7.772
12/16/2018 0:30,7.777
12/16/2018 0:35,7.783
12/16/2018 0:40,7.788
12/16/2018 0:45,7.793
12/16/2018 0:50,7.799
12/16/2018 0:55,7.805
12/16/2018 1:00,7.813
12/16/2018 1:05,7.819
12/16/2018 1:10,7.824
12/16/2018 1:15,7.828
12/16/2018 1:20,7.832
12/16/2018 1:25,7.835
12/16/2018 1:30,7.838
12/16/2018 1:35,7.841
12/16/2018 1:40,7.845
12/16/2018 1:45,7.849
12/16/2018 1:50,7.853
12/16/2018 1:55,7.858
12/16/2018 2:00,7.863
12/16/2018 2:05,7.867
12/16/2018 2:10,7.872
12/16/2018 2:15,7.876
12/16/2018 2:20,7.881
12/16/2018 2:25,7.887
12/16/2018 2:30,7.892
12/16/2018 2:35,7.897
12/16/2018 2:40,7.902
12/16/2018 2:45,7.907
12/16/2018 2:50,7.912
12/16/2018 2:55,7.919
12/16/2018 3:00,7.927
12/16/2018 3:05,7.932
12/16/2018 3:10,7.938
12/16/2018 3:15,7.946
12/16/2018 3:20,7.953
12/16/2018 3:25,7.959
12/16/2018 3:30,7.965
12/16/2018 3:35,7.973
12/16/2018 3:40,7.98
12/16/2018 3:45,7.984
12/16/2018 3:50,7.991
12/16/2018 3:55,7.997
12/16/2018 4:00,8
12/16/2018 4:05,8.01
12/16/2018 4:10,8.01
12/16/2018 4:15,8.02
12/16/2018 4:20,8.02
12/16/2018 4:25,8.03
12/16/2018 4:30,8.03
12/16/2018 4:35,8.04
12/16/2018 4:40,8.04
12/16/2018 4:45,8.05
12/16/2018 4:50,8.06
12/16/2018 4:55,8.07
12/16/2018 5:00,8.07
12/16/2018 5:05,8.08
12/16/2018 5:10,8.08
12/16/2018 5:15,8.09
12/16/2018 5:20,8.09
12/16/2018 5:25,8.1
12/16/2018 5:30,8.1
12/16/2018 5:35,8.11
12/16/2018 5:40,8.11
12/16/2018 5:45,8.12
12/16/2018 5:50,8.12
12/16/2018 5:55,8.13
12/16/2018 6:00,8.13
12/16/2018 6:05,8.13
12/16/2018 6:10,8.14
12/16/2018 6:15,8.14
12/16/2018 6:20,8.15
12/16/2018 6:25,8.15
12/16/2018 6:30,8.15
12/16/2018 6:35,8.16
12/16/2018 6:40,8.16
12/16/2018 6:45,8.17
12/16/2018 6:50,8.17
12/16/2018 6:55,8.18
12/16/2018 7:00,8.18
12/16/2018 7:05,8.19
12/16/2018 7:10,8.19
12/16/2018 7:15,8.2
12/16/2018 7:20,8.2
12/16/2018 7:25,8.21
12/16/2018 7:30,8.21
12/16/2018 7:35,8.22
12/16/2018 7:40,8.23
12/16/2018 7:45,8.23
12/16/2018 7:50,8.24
12/16/2018 7:55,8.24
12/16/2018 8:00,8.25
12/16/2018 8:05,8.25
12/16/2018 8:10,8.26
12/16/2018 8:15,8.27
12/16/2018 8:20,8.28
12/16/2018 8:25,8.28
12/16/2018 8:30,8.29
12/16/2018 8:35,8.3
12/16/2018 8:40,8.31
12/16/2018 8:45,8.31
12/16/2018 8:50,8.32
12/16/2018 8:55,8.32
12/16/2018 9:00,8.33
12/16/2018 9:05,8.34
12/16/2018 9:10,8.34
12/16/2018 9:15,8.35
12/16/2018 9:20,8.36
12/16/2018 9:25,8.36
12/16/2018 9:30,8.37
12/16/2018 9:35,8.38
12/16/2018 9:40,8.38
12/16/2018 9:45,8.39
12/16/2018 9:50,8.4
12/16/2018 9:55,8.41
12/16/2018 10:00,8.42
12/16/2018 10:05,8.43
12/16/2018 10:10,8.44
12/16/2018 10:15,8.45
12/16/2018 10:20,8.46
12/16/2018 10:25,8.47
12/16/2018 10:30,8.48
12/16/2018 10:35,8.48
12/16/2018 10:40,8.49
12/16/2018 10:45,8.52
12/16/2018 10:50,8.53
12/16/2018 10:55,8.54
12/16/2018 11:00,8.55
12/16/2018 11:05,8.56
12/16/2018 11:10,8.57
12/16/2018 11:15,8.59
12/16/2018 11:20,8.6
12/16/2018 11:25,8.61
12/16/2018 11:30,8.62
12/16/2018 11:35,8.63
12/16/2018 11:40,8.64
12/16/2018 11:45,8.65
12/16/2018 11:50,8.66
12/16/2018 11:55,8.67
12/16/2018 12:00,8.68
12/16/2018 12:05,8.69
12/16/2018 12:10,8.7
12/16/2018 12:15,8.71
12/16/2018 12:20,8.72
12/16/2018 12:25,8.73
12/16/2018 12:30,8.74
12/16/2018 12:35,8.75
