Time,Angelo HQ SF Eel Gage Water Temp Outside CS450 degC
12/15/2019 17:35,8.47
12/15/2019 17:40,8.47
12/15/2019 17:45,8.46
12/15/2019 17:50,8.46
12/15/2019 17:55,8.46
12/15/2019 18:00,8.45
12/15/2019 18:05,8.45
12/15/2019 18:10,8.44
12/15/2019 18:15,8.44
12/15/2019 18:20,8.44
12/15/2019 18:25,8.43
12/15/2019 18:30,8.43
12/15/2019 18:35,8.42
12/15/2019 18:40,8.42
12/15/2019 18:45,8.42
12/15/2019 18:50,8.41
12/15/2019 18:55,8.41
12/15/2019 19:00,8.4
12/15/2019 19:05,8.4
12/15/2019 19:10,8.4
12/15/2019 19:15,8.39
12/15/2019 19:20,8.39
12/15/2019 19:25,8.38
12/15/2019 19:30,8.38
12/15/2019 19:35,8.38
12/15/2019 19:40,8.37
12/15/2019 19:45,8.37
12/15/2019 19:50,8.36
12/15/2019 19:55,8.36
12/15/2019 20:00,8.35
12/15/2019 20:05,8.35
12/15/2019 20:10,8.34
12/15/2019 20:15,8.34
12/15/2019 20:20,8.33
12/15/2019 20:25,8.33
12/15/2019 20:30,8.32
12/15/2019 20:35,8.32
12/15/2019 20:40,8.31
12/15/2019 20:45,8.31
12/15/2019 20:50,8.3
12/15/2019 20:55,8.3
12/15/2019 21:00,8.29
12/15/2019 21:05,8.29
12/15/2019 21:10,8.28
12/15/2019 21:15,8.28
12/15/2019 21:20,8.27
12/15/2019 21:25,8.27
12/15/2019 21:30,8.26
12/15/2019 21:35,8.26
12/15/2019 21:40,8.25
12/15/2019 21:45,8.25
12/15/2019 21:50,8.24
12/15/2019 21:55,8.24
12/15/2019 22:00,8.23
12/15/2019 22:05,8.23
12/15/2019 22:10,8.22
12/15/2019 22:15,8.22
12/15/2019 22:20,8.21
12/15/2019 22:25,8.21
12/15/2019 22:30,8.2
12/15/2019 22:35,8.2
12/15/2019 22:40,8.19
12/15/2019 22:45,8.18
12/15/2019 22:50,8.18
12/15/2019 22:55,8.17
12/15/2019 23:00,8.16
12/15/2019 23:05,8.16
12/15/2019 23:10,8.15
12/15/2019 23:15,8.14
12/15/2019 23:20,8.14
12/15/2019 23:25,8.13
12/15/2019 23:30,8.12
12/15/2019 23:35,8.12
12/15/2019 23:40,8.11
12/15/2019 23:45,8.1
12/15/2019 23:50,8.1
12/15/2019 23:55,8.09
12/16/2019 0:00,8.08
12/16/2019 0:05,8.08
12/16/2019 0:10,8.07
12/16/2019 0:15,8.06
12/16/2019 0:20,8.06
12/16/2019 0:25,8.05
12/16/2019 0:30,8.04
12/16/2019 0:35,8.04
12/16/2019 0:40,8.03
12/16/2019 0:45,8.02
12/16/2019 0:50,8.02
12/16/2019 0:55,8.01
12/16/2019 1:00,8.01
12/16/2019 1:05,7.999
12/16/2019 1:10,7.993
12/16/2019 1:15,7.987
12/16/2019 1:20,7.981
12/16/2019 1:25,7.975
12/16/2019 1:30,7.969
12/16/2019 1:35,7.962
12/16/2019 1:40,7.956
12/16/2019 1:45,7.95
12/16/2019 1:50,7.943
12/16/2019 1:55,7.937
12/16/2019 2:00,7.931
12/16/2019 2:05,7.924
12/16/2019 2:10,7.918
12/16/2019 2:15,7.911
12/16/2019 2:20,7.904
12/16/2019 2:25,7.896
12/16/2019 2:30,7.888
12/16/2019 2:35,7.881
12/16/2019 2:40,7.873
12/16/2019 2:45,7.865
12/16/2019 2:50,7.856
12/16/2019 2:55,7.848
12/16/2019 3:00,7.84
12/16/2019 3:05,7.833
12/16/2019 3:10,7.825
12/16/2019 3:15,7.816
12/16/2019 3:20,7.809
12/16/2019 3:25,7.801
12/16/2019 3:30,7.793
12/16/2019 3:35,7.785
12/16/2019 3:40,7.778
12/16/2019 3:45,7.77
12/16/2019 3:50,7.762
12/16/2019 3:55,7.754
12/16/2019 4:00,7.746
12/16/2019 4:05,7.738
12/16/2019 4:10,7.729
12/16/2019 4:15,7.721
12/16/2019 4:20,7.712
12/16/2019 4:25,7.703
12/16/2019 4:30,7.695
12/16/2019 4:35,7.687
12/16/2019 4:40,7.679
12/16/2019 4:45,7.67
12/16/2019 4:50,7.662
12/16/2019 4:55,7.653
12/16/2019 5:00,7.645
12/16/2019 5:05,7.637
12/16/2019 5:10,7.628
12/16/2019 5:15,7.62
12/16/2019 5:20,7.612
12/16/2019 5:25,7.604
12/16/2019 5:30,7.596
12/16/2019 5:35,7.587
12/16/2019 5:40,7.579
12/16/2019 5:45,7.571
12/16/2019 5:50,7.562
12/16/2019 5:55,7.553
